,Obligor Name,County Code,County,State,CBSA,CBSA_title,Latitude,ZIP,Longitude
399, Buckeye Ohio 2020 Senior B-2,39049.0,"Franklin, OH",OH,18140.0,"Columbus, OH",39.969,43266,-83.0114
400, New York State Sales Tax Bonds,36061.0,"New York, NY",NY,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",40.7139,10007,-74.007
401, Talbot Cnty Md,24041.0,"Talbot, MD",MD,20660.0,"Easton, MD",38.7768,21601,-76.0758
402, South Carolina Transportation Infrastructure Bank,45079.0,"Richland, SC",SC,17900.0,"Columbia, SC",34.0004,29201,-81.0334
403, Sarasota Cnty Fla Infrastructure Sales Surtax Rev,12115.0,"Sarasota, FL",FL,35840.0,"North Port-Sarasota-Bradenton, FL",27.3269,34236,-82.5433
404, Coast Cmnty College Dist Calif,6059.0,"Orange, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",33.6801,92626,-117.9085
405, J Paul Getty Trust Inc,6037.0,"Los Angeles, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",34.066,90049,-118.474
406, Massachusetts St Transportation Fund Revenue,25025.0,"Suffolk, MA",MA,14460.0,"Boston-Cambridge-Newton, MA-NH",42.3576,02108,-71.0684
407, Southwestern Cmnty College Dist Calif,6073.0,"San Diego, CA",CA,41740.0,"San Diego-Carlsbad, CA",32.6371,91910,-117.0676
408, Chicago (City Of),17031.0,"Cook, IL",IL,16980.0,"Chicago-Naperville-Elgin, IL-IN-WI",41.8829,60602,-87.6321
409, Minnesota St Revolving Fund,27123.0,"Ramsey, MN",MN,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",44.9512,55101,-93.0902
410, California Endowment,6037.0,"Los Angeles, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",34.0614,90012,-118.2385
411, University Of Rochester,36055.0,"Monroe, NY",NY,40380.0,"Rochester, NY",43.1275,14627,-77.6277
412, San Antonio Tx,48029.0,"Bexar, TX",TX,41700.0,"San Antonio-New Braunfels, TX",29.4237,78205,-98.4925
413, Georgia (State Of),13121.0,"Fulton, GA",GA,12060.0,"Atlanta-Sandy Springs-Roswell, GA",33.7489,30334,-84.3872
414, Charlotte N C Wtr & Swr Sys Rev,37119.0,"Mecklenburg, NC",NC,16740.0,"Charlotte-Concord-Gastonia, NC-SC",35.229,28202,-80.8419
415, Hudson Cnty N J,34017.0,"Hudson, NJ",NJ,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",40.7221,07302,-74.0469
416, Indian Hill Ohio Exmp Vlg Sch Dist Hamilton Cnty,39061.0,"Hamilton, OH",OH,17140.0,"Cincinnati, OH-KY-IN",39.1848,45243,-84.3448
417, Rowland Calif Wtr Dist,6037.0,"Los Angeles, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",33.9818,91748,-117.8969
418, Arapahoe Cnty Colo Sch Dist No 6 Littleton,8005.0,"Arapahoe, CO",CO,19740.0,"Denver-Aurora-Lakewood, CO",39.5994,80120,-105.0044
419, Pennsylvania St Turnpike Commission,42043.0,"Dauphin, PA",PA,25420.0,"Harrisburg-Carlisle, PA",40.2041,17057,-76.7331
420, Tucson Ariz,4019.0,"Pima, AZ",AZ,46060.0,"Tucson, AZ",32.2139,85701,-110.9694
421, Ocean View Calif Sch Dist,6059.0,"Orange, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",33.721,92647,-118.0033
422, Noblesville Ind Multi Sch Bldg Corp,18057.0,"Hamilton, IN",IN,26900.0,"Indianapolis-Carmel-Anderson, IN",40.0563,46060,-86.0163
423, Marlboro N Y Cent Sch Dist,36111.0,"Ulster, NY",NY,28740.0,"Kingston, NY",41.6535,12547,-73.9772
424, Hanover Cnty Va,51085.0,"Hanover, VA",VA,40060.0,"Richmond, VA",37.7701,23069,-77.3216
425, Prosper Tex Indpt Sch Dist,48085.0,"Collin, TX",TX,19100.0,"Dallas-Fort Worth-Arlington, TX",33.2362,75078,-96.7954
426, Palm Beach Cnty Fla Sch Brd,12099.0,"Palm Beach, FL",FL,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",26.6396,33406,-80.0827
427, Portland Or Swr-1St Lien,41051.0,"Multnomah, OR",OR,38900.0,"Portland-Vancouver-Hillsboro, OR-WA",45.5181,97204,-122.6745
428, Austin Tex Indpt Sch Dist,48453.0,"Travis, TX",TX,12420.0,"Austin-Round Rock, TX",30.2907,78703,-97.7648
429, Fort Lauderdale Fl Wtr & Swr Revenue,12011.0,"Broward, FL",FL,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",26.1216,33301,-80.1288
430, Kentucky St Tpk Auth,21073.0,"Franklin, KY",KY,23180.0,"Frankfort, KY",38.2281,40601,-84.8697
431, Guilford Conn,9009.0,"New Haven, CT",CT,35300.0,"New Haven-Milford, CT",41.3154,06437,-72.6968
432, Marin Calif Mun Wtr Dist,6041.0,"Marin, CA",CA,41860.0,"San Francisco-Oakland-Hayward, CA",37.9223,94925,-122.5132
433, Georgetown University,11001.0,"District of Columbia, DC",DC,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.8933,20057,-77.0146
434, Saline Cnty Kans,20169.0,"Saline, KS",KS,41460.0,"Salina, KS",38.8237,67401,-97.6421
435, Redding Calif Jt Pwrs Fing Auth,6089.0,"Shasta, CA",CA,39820.0,"Redding, CA",40.5605,96001,-122.4116
436, Miami-Dade Cnty Fla Wtr & Swr Rev,12086.0,"Miami-Dade, FL",FL,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",25.7672,33130,-80.2059
437, Santa Monica-Malibu Uni Sch Dist Calif Sfid No 1,6037.0,"Los Angeles, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",34.0268,90404,-118.4733
438, Ohio Appropriation,39049.0,"Franklin, OH",OH,18140.0,"Columbus, OH",39.9671,43215,-83.0044
439, Marblehead Mass,25009.0,"Essex, MA",MA,14460.0,"Boston-Cambridge-Newton, MA-NH",42.4984,01945,-70.8653
440, Charleston Cnty S C,45019.0,"Charleston, SC",SC,16700.0,"Charleston-North Charleston, SC",32.853,29405,-79.9913
441, University Of North Carolina-Charlotte,37119.0,"Mecklenburg, NC",NC,16740.0,"Charlotte-Concord-Gastonia, NC-SC",35.3041,28223,-80.7267
442, Wilmington N C Ltd Oblig Rev,37129.0,"New Hanover, NC",NC,48900.0,"Wilmington, NC",34.2257,28401,-77.9447
443, Phoenix Ariz Civic Impt Corp Wtr (Sub),4013.0,"Maricopa, AZ",AZ,38060.0,"Phoenix-Mesa-Scottsdale, AZ",33.4511,85003,-112.0774
444, Cumberland Cnty N C Ctfs Partn,37051.0,"Cumberland, NC",NC,22180.0,"Fayetteville, NC",35.0743,28301,-78.8836
445, Kentucky Infrastructure Auth,21073.0,"Franklin, KY",KY,23180.0,"Frankfort, KY",38.2281,40601,-84.8697
446, Childrens Hosp Of Philadelphia,42101.0,"Philadelphia, PA",PA,37980.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39.9597,19104,-75.2024
447, Delaware Riv Jt Toll Brdg Commn Pa,42017.0,"Bucks, PA",PA,37980.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",40.2084,19067,-74.8291
448, Sioux Falls Sd Sales Tax,46099.0,"Minnehaha, SD",SD,43620.0,"Sioux Falls, SD",43.5464,57101,-96.6906
449, Denton Tex Indpt Sch Dist,48121.0,"Denton, TX",TX,19100.0,"Dallas-Fort Worth-Arlington, TX",33.2289,76201,-97.1314
450, Oklahoma St Mun Pwr Auth,40109.0,"Oklahoma, OK",OK,36420.0,"Oklahoma City, OK",35.6215,73013,-97.4733
451, Birmingham Ala Wtrwks Brd,1073.0,"Jefferson, AL",AL,13820.0,"Birmingham-Hoover, AL",33.5219,35222,-86.7666
452, Florida St Tpk Auth,12095.0,"Orange, FL",FL,36740.0,"Orlando-Kissimmee-Sanford, FL",28.5837,34761,-81.5326
453, Sevier Cnty Utah Sch Dist Sevier Sch Dist,49041.0,"Sevier, UT",UT,,,38.7388,84701,-112.0744
454, Macomb Cnty Mich,26099.0,"Macomb, MI",MI,19820.0,"Detroit-Warren-Dearborn, MI",42.5978,48043,-82.8823
455, Douglas Cnty Neb Sch Dist No 1,31055.0,"Douglas, NE",NE,36540.0,"Omaha-Council Bluffs, NE-IA",41.2647,68131,-95.9639
456, Chula Vista Calif Pob,6073.0,"San Diego, CA",CA,41740.0,"San Diego-Carlsbad, CA",32.6371,91910,-117.0676
457, City Of Ocean City N J,34009.0,"Cape May, NJ",NJ,36140.0,"Ocean City, NJ",39.2709,08226,-74.5875
458, Conroe Tex Indpt Sch Dist,48339.0,"Montgomery, TX",TX,26420.0,"Houston-The Woodlands-Sugar Land, TX",30.3217,77304,-95.5285
459, Cypress-Fairbanks Tex Indpt Sch Dist,48201.0,"Harris, TX",TX,26420.0,"Houston-The Woodlands-Sugar Land, TX",29.9319,77065,-95.6106
460, Charlotte N C Ctfs Partn,37119.0,"Mecklenburg, NC",NC,16740.0,"Charlotte-Concord-Gastonia, NC-SC",35.229,28202,-80.8419
461, Hempfield Pa Sch Dist,42071.0,"Lancaster, PA",PA,29540.0,"Lancaster, PA",40.0892,17538,-76.4156
462, Carlsbad Calif Uni Sch Dist,6073.0,"San Diego, CA",CA,41740.0,"San Diego-Carlsbad, CA",33.0954,92009,-117.2619
463, Daniel Boone Pa Area Sch Dist,42011.0,"Berks, PA",PA,39740.0,"Reading, PA",40.2709,19518,-75.7397
464, Kansas City United Methodist Retirement Home,29095.0,"Jackson, MO",MO,28140.0,"Kansas City, MO-KS",38.9621,64114,-94.5959
465, Greenburgh N Y,36119.0,"Westchester, NY",NY,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",41.0398,10607,-73.8117
466, Hawaii St Aprts Sys Rev,15003.0,"Honolulu, HI",HI,46520.0,"Urban Honolulu, HI",21.3179,96813,-157.8521
467, Idaho Bd Bk Auth,16001.0,"Ada, ID",ID,14260.0,"Boise City, ID",43.6322,83702,-116.2052
468, Louisiana (State Of),22033.0,"East Baton Rouge Parish, LA",LA,12940.0,"Baton Rouge, LA",30.4438,70802,-91.1775
469, South Orange & Maplewood N J Sch Dist,34013.0,"Essex, NJ",NJ,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",40.7279,07040,-74.2656
470, Olentangy Loc Sch Dist Ohio,39041.0,"Delaware, OH",OH,18140.0,"Columbus, OH",40.1879,43035,-82.9878
471, Emory University,13121.0,"Fulton, GA",GA,12060.0,"Atlanta-Sandy Springs-Roswell, GA",33.8482,30326,-84.3582
472, Georgia Tech Facilities Inc,13121.0,"Fulton, GA",GA,12060.0,"Atlanta-Sandy Springs-Roswell, GA",33.7763,30332,-84.398
473, Houston Tex Arpt Sys Rev - Sub Lien,48201.0,"Harris, TX",TX,26420.0,"Houston-The Woodlands-Sugar Land, TX",29.7594,77002,-95.3594
474, Golden Appropriated,6067.0,"Sacramento, CA",CA,40900.0,"Sacramento--Roseville--Arden-Arcade, CA",38.5804,95814,-121.4922
475, Michigan Technological Univ,26061.0,"Houghton, MI",MI,26340.0,"Houghton, MI",47.1158,49931,-88.558
476, Watauga Cnty N C Ltd Oblig,37189.0,"Watauga, NC",NC,14380.0,"Boone, NC",36.2142,28607,-81.666
477, Purdue Univ Ind,18157.0,"Tippecanoe, IN",IN,29200.0,"Lafayette-West Lafayette, IN",40.4249,47907,-86.9162
478, Southern Minn Mun Pwr Agy,27109.0,"Olmsted, MN",MN,40340.0,"Rochester, MN",44.0032,55902,-92.4835
479, Montgomery Cnty Md,24031.0,"Montgomery, MD",MD,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",39.087,20850,-77.168
480, Collin Cnty Tex,48085.0,"Collin, TX",TX,19100.0,"Dallas-Fort Worth-Arlington, TX",33.1976,75071,-96.6153
481, New Mexico Fin Auth Fuel Tax - Subord,35049.0,"Santa Fe, NM",NM,42140.0,"Santa Fe, NM",35.6975,87501,-105.9821
482, Barnard College,36061.0,"New York, NY",NY,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",40.8116,10027,-73.955
483, Erie Cnty N Y,36029.0,"Erie, NY",NY,15380.0,"Buffalo-Cheektowaga-Niagara Falls, NY",42.887,14202,-78.8779
484, San Francisco Calif City & Cnty Pub Utils Commn Wstewtr Rev,6075.0,"San Francisco, CA",CA,41860.0,"San Francisco-Oakland-Hayward, CA",37.7813,94102,-122.4167
485, North Texas Tollway Authority,48085.0,"Collin, TX",TX,19100.0,"Dallas-Fort Worth-Arlington, TX",33.0299,75093,-96.7889
486, Miami-Dade Cnty Fla Transit Sales Surtax Rev,12086.0,"Miami-Dade, FL",FL,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",25.7756,33128,-80.2089
487, Saint Lawrence University,36089.0,"St. Lawrence, NY",NY,36300.0,"Ogdensburg-Massena, NY",44.5924,13617,-75.1628
488, Alameda Cnty Calif Transn Auth,6001.0,"Alameda, CA",CA,41860.0,"San Francisco-Oakland-Hayward, CA",37.8071,94607,-122.2851
489, San Francisco Intl Arpt Rev,6081.0,"San Mateo, CA",CA,41860.0,"San Francisco-Oakland-Hayward, CA",37.6216,94128,-122.3929
490, Charleston Sc Appro,45019.0,"Charleston, SC",SC,16700.0,"Charleston-North Charleston, SC",32.7795,29401,-79.9371
491, Florida St Brd Ed Lottery Rev,12073.0,"Leon, FL",FL,45220.0,"Tallahassee, FL",30.4383,32399,-84.2807
492, Beverly Hills Calif Uni Sch Dist,6037.0,"Los Angeles, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",34.0619,90212,-118.3995
493, Cobb Cnty Ga,13067.0,"Cobb, GA",GA,12060.0,"Atlanta-Sandy Springs-Roswell, GA",33.9525,30090,-84.5471
494, Rex Healthcare,37183.0,"Wake, NC",NC,39580.0,"Raleigh, NC",35.8014,27607,-78.6877
495, Santa Rosa Calif Wastewater Rev,6097.0,"Sonoma, CA",CA,42220.0,"Santa Rosa, CA",38.4534,95404,-122.6878
496, Los Angeles Calif,6037.0,"Los Angeles, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",34.0614,90012,-118.2385
497, University Of Arkansas,5143.0,"Washington, AR",AR,22220.0,"Fayetteville-Springdale-Rogers, AR-MO",36.052,72701,-94.1534
498, Michigan St Grant Anticipation Revenue (Fed),26065.0,"Ingham, MI",MI,29620.0,"Lansing-East Lansing, MI",42.7334,48933,-84.5571
499, University Of Wyoming,56001.0,"Albany, WY",WY,29660.0,"Laramie, WY",41.439,82070,-105.801
500, Arlington Mass,25017.0,"Middlesex, MA",MA,14460.0,"Boston-Cambridge-Newton, MA-NH",42.4162,02476,-71.1752
501, Orange Cnty Calif Santn Dist,6059.0,"Orange, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",33.7102,92708,-117.9503
502, Rhode Island Department Of Transportation,44007.0,"Providence, RI",RI,39300.0,"Providence-Warwick, RI-MA",41.82,02903,-71.4158
503, Oregon St Univ,41003.0,"Benton, OR",OR,18700.0,"Corvallis, OR",44.5638,97331,-123.2779
504, Solano Cnty Calif,6095.0,"Solano, CA",CA,46700.0,"Vallejo-Fairfield, CA",38.2671,94533,-122.0357
505, Stowers Institute For Med Resh,29095.0,"Jackson, MO",MO,28140.0,"Kansas City, MO-KS",39.0361,64110,-94.5722
506, Grand Blanc Mich Cmnty Schs,26049.0,"Genesee, MI",MI,22420.0,"Flint, MI",42.9282,48439,-83.6264
507, Maryland St Dept Transn,24003.0,"Anne Arundel, MD",MD,12580.0,"Baltimore-Columbia-Towson, MD",39.1551,21076,-76.7215
508, Central Florida Exressway Auth,12095.0,"Orange, FL",FL,36740.0,"Orlando-Kissimmee-Sanford, FL",28.5515,32807,-81.3051
509, Pratt Paper (Ky) Llc,21101.0,"Henderson, KY",KY,21780.0,"Evansville, IN-KY",37.8274,42420,-87.5632
510, Snohomish Cnty Wash,53061.0,"Snohomish, WA",WA,42660.0,"Seattle-Tacoma-Bellevue, WA",47.9884,98201,-122.2006
511, Timpanogos Spl Svc Dist Utah,49049.0,"Utah, UT",UT,39340.0,"Provo-Orem, UT",40.3928,84003,-111.7941
512, Minneapolis & St Paul Minn Met Arpts - Subordinatec,27053.0,"Hennepin, MN",MN,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",44.8811,55450,-93.2207
513, Idaho Hsg & Fin Assn Garvee,16001.0,"Ada, ID",ID,14260.0,"Boise City, ID",43.6135,83707,-116.2035
514, Harris County Texas,48201.0,"Harris, TX",TX,26420.0,"Houston-The Woodlands-Sugar Land, TX",29.7594,77002,-95.3594
515, Los Angeles Intl Arpt,6037.0,"Los Angeles, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",33.9631,90045,-118.3941
516, Lee Cnty Fla Sch Brd,12071.0,"Lee, FL",FL,15980.0,"Cape Coral-Fort Myers, FL",26.5824,33966,-81.832
517, Buck Institute For Research On Aging,6041.0,"Marin, CA",CA,41860.0,"San Francisco-Oakland-Hayward, CA",38.1163,94945,-122.5714
518, Cumberland Cnty N J,34011.0,"Cumberland, NJ",NJ,47220.0,"Vineland-Bridgeton, NJ",39.3762,08302,-75.1617
519, Fuquay-Varina Nc Comb Utilities,37183.0,"Wake, NC",NC,39580.0,"Raleigh, NC",35.58,27526,-78.7908
520, Houston City Of,48201.0,"Harris, TX",TX,26420.0,"Houston-The Woodlands-Sugar Land, TX",29.7594,77002,-95.3594
521, Modesto Irrigation District -  Electric,6099.0,"Stanislaus, CA",CA,33700.0,"Modesto, CA",37.6409,95354,-120.9749
522, Minneapolis & St Paul Minn Met Arpts Commn,27053.0,"Hennepin, MN",MN,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",44.8811,55450,-93.2207
523, Aurora Colo,8005.0,"Arapahoe, CO",CO,19740.0,"Denver-Aurora-Lakewood, CO",39.6987,80012,-104.8377
524, Mckinney Tex,48085.0,"Collin, TX",TX,19100.0,"Dallas-Fort Worth-Arlington, TX",33.1976,75069,-96.6153
525, Waxahachie Tex,48139.0,"Ellis, TX",TX,19100.0,"Dallas-Fort Worth-Arlington, TX",32.3808,75165,-96.8374
526, San Francisco County Transportation Authority,6075.0,"San Francisco, CA",CA,41860.0,"San Francisco-Oakland-Hayward, CA",37.7725,94103,-122.4147
527, New York St Brdg Auth,36111.0,"Ulster, NY",NY,28740.0,"Kingston, NY",41.7167,12528,-73.9928
528, Marist College,36027.0,"Dutchess, NY",NY,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",41.7035,12601,-73.9117
529, Columbus Ohio Sewer Rev,39049.0,"Franklin, OH",OH,18140.0,"Columbus, OH",39.9671,43215,-83.0044
530, Oakland Calif Redev Agy,6001.0,"Alameda, CA",CA,41860.0,"San Francisco-Oakland-Hayward, CA",37.8085,94612,-122.2668
531, Kane Mc Henry Cook & De Kalb Cntys Ill Cmnty Unit Sch Dist No 300,17111.0,"McHenry, IL",IL,16980.0,"Chicago-Naperville-Elgin, IL-IN-WI",42.1641,60102,-88.3064
532, Trumbull Conn,9001.0,"Fairfield, CT",CT,14860.0,"Bridgeport-Stamford-Norwalk, CT",41.2564,06611,-73.2111
533, Redwood City Calif Lease,6081.0,"San Mateo, CA",CA,41860.0,"San Francisco-Oakland-Hayward, CA",37.4647,94061,-122.2304
534, Memphis Tenn,47157.0,"Shelby, TN",TN,32820.0,"Memphis, TN-MS-AR",35.144,38103,-90.048
535, Maine Municipal Bond Bank,23011.0,"Kennebec, ME",ME,12300.0,"Augusta-Waterville, ME",44.3232,04330,-69.7665
536, Garden Grove Calif Uni Sch Dist,6059.0,"Orange, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",33.7869,92840,-117.9273
537, Anaheim Calif Redev Agy,6059.0,"Orange, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",33.8359,92805,-117.9086
538, New York State Environmental Facilities Corp,36001.0,"Albany, NY",NY,10580.0,"Albany-Schenectady-Troy, NY",42.6526,12207,-73.7562
539, Iowa St Univ Of Science & Technology,19169.0,"Story, IA",IA,11180.0,"Ames, IA",42.036,50011,-93.4652
540, California Infrastructure & Economic Development Bank,6067.0,"Sacramento, CA",CA,40900.0,"Sacramento--Roseville--Arden-Arcade, CA",38.5804,95814,-121.4922
541, New York St Twy Auth,36001.0,"Albany, NY",NY,10580.0,"Albany-Schenectady-Troy, NY",42.6526,12201,-73.7562
542, Central Cmnty Sch Sys La Sales Tax Rev,22033.0,"East Baton Rouge Parish, LA",LA,12940.0,"Baton Rouge, LA",30.5159,70837,-91.0804
543, Carleton College,27131.0,"Rice, MN",MN,22060.0,"Faribault-Northfield, MN",44.4587,55057,-93.1668
544, Harnett Cnty N C Ltd Oblig,37085.0,"Harnett, NC",NC,20380.0,"Dunn, NC",35.332,27546,-78.9212
545, Met Govt Nashville & Davidson Cnty Tenn Elec,47037.0,"Davidson, TN",TN,34980.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",36.1678,37219,-86.7837
546, University Wis Hosps & Clinics Auth,55025.0,"Dane, WI",WI,31540.0,"Madison, WI",43.0696,53792,-89.4239
547, Orlando Fla Utils Commn,12095.0,"Orange, FL",FL,36740.0,"Orlando-Kissimmee-Sanford, FL",28.5383,32802,-81.3792
548, College Park Md,24033.0,"Prince George's, MD",MD,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.9963,20740,-76.9299
549, Scripps Health,6073.0,"San Diego, CA",CA,41740.0,"San Diego-Carlsbad, CA",32.8919,92121,-117.2035
550, West Knox Util Dist Knox Cnty Tenn,47093.0,"Knox, TN",TN,28940.0,"Knoxville, TN",35.9335,37932,-84.1481
551, Virginia St Pub Bldg Auth,51760.0,"City of Richmond, VA",VA,40060.0,"Richmond, VA",37.5463,23219,-77.4378
552, Indiana Appropriation,18097.0,"Marion, IN",IN,26900.0,"Indianapolis-Carmel-Anderson, IN",39.772,46204,-86.1535
553, Michigan (State Of),26065.0,"Ingham, MI",MI,29620.0,"Lansing-East Lansing, MI",42.7334,48933,-84.5571
554, North Dakota Pub Fin Auth - Cln Wtr Srf & Drnk Wtr Srf,38015.0,"Burleigh, ND",ND,13900.0,"Bismarck, ND",46.8083,58506,-100.7837
555, Forest At Duke Inc,37063.0,"Durham, NC",NC,20500.0,"Durham-Chapel Hill, NC",36.0218,27705,-78.9478
556, Burbank Ca Electric,6037.0,"Los Angeles, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",34.1745,91502,-118.3059
557, Pennsylvania State System Of Higher Education,42043.0,"Dauphin, PA",PA,25420.0,"Harrisburg-Carlisle, PA",40.303,17110,-76.8862
558, Contra Costa Calif Cmnty College Dist,6013.0,"Contra Costa, CA",CA,41860.0,"San Francisco-Oakland-Hayward, CA",37.9864,94553,-122.135
559, Port Of Seattle Incl Seatac - Intermediate,53033.0,"King, WA",WA,42660.0,"Seattle-Tacoma-Bellevue, WA",47.6151,98121,-122.3447
560, Mecklenburg Cnty N C,37119.0,"Mecklenburg, NC",NC,16740.0,"Charlotte-Concord-Gastonia, NC-SC",35.229,28202,-80.8419
561, St Charles Mo Lease,29183.0,"Saint Charles, MO",MO,41180.0,"St. Louis, MO-IL",38.8014,63301,-90.5065
562, Mechanicsburg Pa Area Sch Dist,42041.0,"Cumberland, PA",PA,25420.0,"Harrisburg-Carlisle, PA",40.179,17055,-77.0036
563, Buncombe Cnty N C Met Sew Dist,37021.0,"Buncombe, NC",NC,11700.0,"Asheville, NC",35.6374,28804,-82.5646
564, Cambridge Mass,25017.0,"Middlesex, MA",MA,14460.0,"Boston-Cambridge-Newton, MA-NH",42.3647,02139,-71.1042
565, Richland Cnty S C Sch Dist No 2,45079.0,"Richland, SC",SC,17900.0,"Columbia, SC",34.1388,29229,-80.8892
566, New Mexico Fin Auth - Senior Rev,35049.0,"Santa Fe, NM",NM,42140.0,"Santa Fe, NM",35.6975,87501,-105.9821
567, Blaine Minn,27003.0,"Anoka, MN",MN,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",45.1697,55449,-93.1889
568, Massachusetts Bay Trans Auth Sales Tax Sub,25025.0,"Suffolk, MA",MA,14460.0,"Boston-Cambridge-Newton, MA-NH",42.3492,02116,-71.0768
569, Ohio St Tpk Commn,39035.0,"Cuyahoga, OH",OH,17460.0,"Cleveland-Elyria, OH",41.3676,44017,-81.8618
570, Kentucky State Property And Buildings Commission,21073.0,"Franklin, KY",KY,23180.0,"Frankfort, KY",38.2281,40601,-84.8697
571, Washington  Lee Univ,51678.0,"Lexington (city), VA",VA,,,37.7885,24450,-79.4581
572, Cranford Twp N J,34039.0,"Union, NJ",NJ,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",40.6554,07016,-74.3057
573, Illinois Clean Water Initiative Revolving Fund,17031.0,"Cook, IL",IL,16980.0,"Chicago-Naperville-Elgin, IL-IN-WI",41.8858,60601,-87.6181
574, Durham N C Ltd Oblig Rev,37063.0,"Durham, NC",NC,20500.0,"Durham-Chapel Hill, NC",35.9631,27707,-78.9315
575, Forest City Southern Group Llc,39035.0,"Cuyahoga, OH",OH,17460.0,"Cleveland-Elyria, OH",41.4816,44113,-81.7018
576, St Tammany Parish Wide Sch Dist No 12 La,22103.0,"St. Tammany, LA",LA,35380.0,"New Orleans-Metairie, LA",30.4876,70433,-90.0959
577, Campbell Calif Un High Sch Dist,6085.0,"Santa Clara, CA",CA,41940.0,"San Jose-Sunnyvale-Santa Clara, CA",37.2803,95008,-121.9539
578, Virginia Beach Va - Storm Wtr Rev,51810.0,"Virginia Beach (city), VA",VA,47260.0,"Virginia Beach-Norfolk-Newport News, VA-NC",36.7341,23456,-76.0359
579, San Jose International Airport,6085.0,"Santa Clara, CA",CA,41940.0,"San Jose-Sunnyvale-Santa Clara, CA",37.3391,95110,-121.9016
580, Washington Multnomah & Yamhillcntys Ore Sch Dist No 1J Hillsboro,41067.0,"Washington, OR",OR,38900.0,"Portland-Vancouver-Hillsboro, OR-WA",45.5387,97124,-122.9636
581, Grand Cnty Colo Sch Dist No 2 East Grande,8049.0,"Grand, CO",CO,,,40.0739,80446,-105.9285
582, Chattanooga Tenn,47065.0,"Hamilton, TN",TN,16860.0,"Chattanooga, TN-GA",35.0463,37402,-85.3161
583, North Carolina (State Of),37183.0,"Wake, NC",NC,39580.0,"Raleigh, NC",35.7977,27699,-78.6253
584, Houston Tex Util Sys Rev,48201.0,"Harris, TX",TX,26420.0,"Houston-The Woodlands-Sugar Land, TX",29.7594,77002,-95.3594
585, East Haddam Conn,9007.0,"Middlesex, CT",CT,25540.0,"Hartford-West Hartford-East Hartford, CT",41.5078,06469,-72.4419
586, District Of Columbia Water And Sewer Authority,11001.0,"District of Columbia, DC",DC,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.8338,20032,-76.9995
587, Los Angeles Calif Mun Impt Corp,6037.0,"Los Angeles, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",34.0614,90012,-118.2385
588, Richmond Mich Cmnty Sch Dist,26099.0,"Macomb, MI",MI,19820.0,"Detroit-Warren-Dearborn, MI",42.8389,48062,-82.7996
589, Brown University,44007.0,"Providence, RI",RI,39300.0,"Providence-Warwick, RI-MA",41.8267,02912,-71.3977
590, Corry Pa Area Sch Dist,42049.0,"Erie, PA",PA,21500.0,"Erie, PA",41.9226,16407,-79.6567
591, Massachusetts St Tpk Auth,25025.0,"Suffolk, MA",MA,14460.0,"Boston-Cambridge-Newton, MA-NH",42.3492,02116,-71.0768
592, Virginia Comwlth Transn Brd,51760.0,"City of Richmond, VA",VA,40060.0,"Richmond, VA",37.5463,23219,-77.4378
